"plataforma","condicion","video_id","y","ok","prob","etiqueta","ioi","aoc","ebt","razon"
"Youtube","Metadata+Transcript","xdVMLwUyKFo",0,TRUE,0,0,"not applicable","not applicable","not applicable","Video does not contain any mental health information or claims."
"Youtube","Metadata+Transcript","nefiLRyJ7bc",0,TRUE,0,0,"not applicable","not violated","not violated","Video promotes general motivation and resilience, without making any specific medical claims or promoting unproven treatments."
"Youtube","Metadata+Transcript","rWKYkXH3API",0,TRUE,0,0,"not violated","not violated","not violated","Video accurately describes somatic symptom disorder, a recognized mental health condition."
"Youtube","Metadata+Transcript","B1twiLfbjow",0,FALSE,NA,NA,NA,NA,NA,NA
"Youtube","Metadata+Transcript","qVm0N_MjyXo",1,TRUE,0.8,1,"not applicable","violated","not violated","Video denies that people care about men's mental health, which contradicts the growing awareness and support for men's mental health."
"Youtube","Metadata+Transcript","5pwNICniqtM",0,TRUE,0,0,"not applicable","not violated","not violated","Video does not provide medical claims or interventions, and aligns with general understanding of ADHD."
"Youtube","Metadata+Transcript","dmE-lkYba9Q",0,TRUE,0,0,"not violated","not violated","not violated","Video promotes seeking help from trusted individuals, which aligns with evidence-based treatment and medical consensus."
"Youtube","Metadata+Transcript","C9j4JxFlyTg",1,TRUE,0.8,1,"violated","violated","violated","Claims that mental health professionals overprescribe medication and that ADHD diagnosis is often incorrect for ESFPs and ENFPs."
"Youtube","Metadata+Transcript","qCthXuL1yZU",0,TRUE,0,0,"not violated","not violated","not violated","Video presents general information on vitamins for mental health without making false claims or discouraging evidence-based treatment."
"Youtube","Metadata+Transcript","JjYK_kwcu5Q",1,TRUE,0,0,"not violated","not violated","not violated","Video presents microdosing as potentially helpful, but does not make false claims about treatments or interventions."
"Youtube","Metadata+Transcript","lxcR-piMkgo",0,TRUE,0,0,"not violated","not violated","not violated","Video presents accurate information on dopamine release and cortisol pulse timing, supported by scientific consensus."
"Youtube","Metadata+Transcript","qXCyeRW8uRQ",0,TRUE,0,0,"not applicable","not violated","not violated","Video discusses physical symptoms of anxiety and provides links to journaling prompts, but does not make any false medical claims."
"Youtube","Metadata+Transcript","89Cl_G6OEFg",0,TRUE,0,0,"not applicable","not applicable","not applicable","Video appears to be a short, positive affirmation clip with no medical claims or information."
"Youtube","Metadata+Transcript","uN6Wba7A2Z0",0,TRUE,0,0,"not violated","not violated","not violated","Video presents personal experience and self-help strategies without making any medically relevant claims or promoting unproven treatments."
"Youtube","Metadata+Transcript","BCQYfe3k11Q",0,TRUE,0.8,1,"not violated","violated","not violated","Misrepresents bipolar disorder diagnostic criteria and trivializes the experience of individuals with the condition."
"Youtube","Metadata+Transcript","xGvaSROftWU",0,TRUE,0,0,"not violated","not violated","not violated","Video promotes self-care and prioritizing mental health recovery without making any false or misleading claims."
"Youtube","Metadata+Transcript","qu9hKSCX-5w",0,TRUE,0,0,"not applicable","not applicable","not applicable","Video does not contain any mental health information or claims."
"Youtube","Metadata+Transcript","28PZ4m8bCAY",1,TRUE,0.8,1,"not applicable","violated","not applicable","Claims of God healing from eating disorder and rage contradict medical consensus on treatment and recovery from mental health conditions."
"Youtube","Metadata+Transcript","N-6ghXgeO7A",0,TRUE,0,0,"not applicable","not violated","not applicable","Video discusses a fan theory and does not provide medical claims or advice."
"Youtube","Metadata+Transcript","_s04cdduA84",0,TRUE,0,0,"not applicable","not violated","not applicable","Video is a personal introduction to an autistic child's TikTok page, promoting kindness and friendship."
"Youtube","Metadata+Transcript","k4pmykfIhzk",0,TRUE,0,0,"not applicable","not violated","not applicable","Video appears to be a personal expression of mental health experience, not providing medical claims or interventions."
"Youtube","Metadata+Transcript","FRnLETy5TdA",0,TRUE,0,0,"not applicable","not applicable","not applicable","Video appears to be a humorous, non-informative clip with no mental health content."
"Youtube","Metadata+Transcript","vN3MctHrJPo",1,TRUE,0,0,"not applicable","not violated","not violated","Video does not provide medical claims or interventions, and aligns with Christian interpretation of the Bible."
"Youtube","Metadata+Transcript","zlo8Ec4KF20",0,TRUE,0,0,"not applicable","not applicable","not applicable","Video appears to be a humorous clip with no mental health information."
"Youtube","Metadata+Transcript","GqgRCPs1bdo",0,TRUE,0,0,"not applicable","not applicable","not applicable","Video appears to be a song or emotional expression, lacking explicit mental health information."
"Youtube","Metadata+Transcript","2uE8YsXdloA",1,TRUE,0,0,"not applicable","not violated","not applicable","Video appears to be a song or music video, not a mental health information source."
"Youtube","Metadata+Transcript","htKGdOiwM00",1,TRUE,0,0,"not applicable","not violated","not applicable","Video appears to be a representation of severe depression, not providing any medical claims or interventions."
"Youtube","Metadata+Transcript","NdLGryoieVY",0,TRUE,0.8,1,"not applicable","violated","not applicable","Claim of 98.5% mental illness prevalence contradicts scientific consensus, which estimates around 20-25% of US population experiences mental illness."
"Youtube","Metadata+Transcript","G-aQVbKfO4I",0,TRUE,0,0,"not applicable","not violated","not applicable","Video is a personal anecdote about living with ADHD, does not provide medical claims or interventions."
"Youtube","Metadata+Transcript","zb-wqjf_WyA",0,TRUE,0,0,"not applicable","not applicable","not applicable","Video lacks explicit mental health information, focusing on music and hiking."
"Youtube","Metadata+Transcript","lyT-x9pMNjU",1,TRUE,0.9,1,"violated","violated","violated","Promotes self-hypnosis as a cure for depression without evidence."
"Youtube","Metadata+Transcript","uxfsZMtABmU",0,TRUE,0,0,"not applicable","not applicable","not applicable","Video appears to be a personal experience or expression, not providing medical information."
"Youtube","Metadata+Transcript","HPc0nOxEmF0",0,TRUE,0,0,"not applicable","not violated","not applicable","Video exposes a TikToker's fabricated mental health claims, no misinformation present."
"Youtube","Metadata+Transcript","Gwk1saT156k",0,TRUE,0,0,"not applicable","not applicable","not applicable","Video appears to be a personal expression of autism-related stimming, not providing any medical claims or advice."
"Youtube","Metadata+Transcript","6iw0JZbX8qo",0,TRUE,0,0,"not violated","not violated","not violated","Video accurately describes experiential avoidance and its consequences, and mentions effective treatments without providing misinformation."
"Youtube","Metadata+Transcript","NdYCNW5ge7A",0,TRUE,0,0,"not applicable","not violated","not applicable","Video presents a general, non-clinical perspective on anxiety, aligning with Islamic teachings and not promoting any specific treatment or intervention."
"Youtube","Metadata+Transcript","XvcxJpDmW1k",0,TRUE,0,0,"not applicable","not violated","not applicable","Video appears to be a personal reflection and song, not providing any medical information or advice."
"Youtube","Metadata+Transcript","YNJNHelSbeg",0,TRUE,0,0,"not applicable","not violated","not applicable","Claims about increased risk of psychosis and schizophrenia with cannabis use align with current scientific consensus."
"Youtube","Metadata+Transcript","J2tBtMslyE0",0,TRUE,0,0,"not applicable","not violated","not applicable","Video provides personal insight into living with severe OCD, without promoting misinformation or unproven treatments."
"Youtube","Metadata+Transcript","hgT_cIJR_bY",0,TRUE,0,0,"not applicable","not violated","not applicable","Video shares personal experience, does not provide false medical claims or discourage evidence-based treatment."
"Youtube","Metadata+Transcript","TEP0KseWO5Y",0,TRUE,0,0,"not applicable","not applicable","not applicable","No information on interventions, consensus, or evidence-based treatment is provided."
"Youtube","Metadata+Transcript","5vcRFAn-KRE",0,TRUE,0,0,"not applicable","not violated","not applicable","Video is a humorous commentary on societal responses to depression, not providing medical advice or misinformation."
"Youtube","Metadata+Transcript","O7lOzhiKnaA",0,TRUE,0,0,"not applicable","not violated","not violated","Video appears to be a personal, anecdotal account of a parent's experience with their child's autism, without any medical claims or interventions."
"Youtube","Metadata+Transcript","fz6dbtnwEi0",0,TRUE,0,0,"not applicable","not applicable","not applicable","Video appears to be a poetic or artistic expression, not providing any information on mental health interventions, consensus, or evidence-based treatment."
"Youtube","Metadata+Transcript","JGw_BzwtqtM",0,TRUE,0,0,"not applicable","not violated","not applicable","Video reports on Trump's reaction to potential indictment, no medical claims or misinformation"
"Youtube","Metadata+Transcript","XfSfQ2JtYrk",0,TRUE,0,0,"not applicable","not applicable","not applicable","Video appears to be a chemistry lesson, not related to mental health."
"Youtube","Metadata+Transcript","qa9lid42H8w",0,TRUE,0,0,"not applicable","not violated","not applicable","Video does not provide any information on interventions, medical consensus, or evidence-based treatment. It appears to be a personal awareness message."
"Youtube","Metadata+Transcript","BSpH3LAI0qM",0,TRUE,0,0,"not applicable","not applicable","not applicable","Video does not provide any information about mental health treatments or interventions."
